id	name	source	equipment_sources	element	rarity	current_time	disposition	dependencies	current_description	proposed_role	proposal
guiding_flare	Guiding Flare	reward		fire	common	4	mechanical rewrite / role adjustment	damaging Burn status (confirmed removal)	Deal 5 and burn 2 at range 5, then create radius-2 Light at the impact for 2 turns.	Fire and light setup	Ranged damage, then place Fire and the existing radius-2 Light at the impact. Replace its Burn rider with Fire; trim direct damage if needed to pay for persistent territory.
dawnstep	Dawnstep	reward		air	common	2	mechanical rewrite / role adjustment		Move 3, then gain 2 vision for 2 turns.	Reconnaissance and positioning	Retain Move and Vision. Movement obeys Rubble costs and shared surface entry effects; Air need not manufacture a fifth surface.
prism_sight	Prism Sight	reward		ice	rare	4	mechanical rewrite / role adjustment		Gain truesight for 2 turns, gain 4 block, and draw 1.	Defensive reconnaissance	Retain Truesight, Block and draw. Its lack of terrain creation is intentional: Ice decks still need defensive and information choices.
storm_beacon	Storm Beacon	reward		lightning	rare	5	mechanical rewrite / role adjustment	intensity, Chain surface interaction review	Raise Lightning intensity. Deal 5 with chain 2 at range 6, then create radius-2 Light at the impact for 2 turns.	Visible lightning route	Keep modest ranged Chain damage and impact Light; replace intensity generation with one Electrified tile at the primary impact AFTER the complete attack. This tile supplies an endpoint or gap filler. Ordinary Lightning conduction and intrinsic Chain follow the shared rules; empty surface nodes never count as hit rewards.
glowstone_ward	Glowstone Ward	reward		earth	rare	5	mechanical rewrite / role adjustment		Gain 4 stoneskin and place a lasting light at range 3.	Persistent light and defense	Retain Stoneskin and independently placed lasting Light. Do not attach Rubble automatically to every Earth support card.
daybreak	Daybreak	reward		neutral	legendary	7	retain role; compatibility and balance review		Exhaust. Reduce the Umbra by 2 stages, draw 2, and gain 1 card play.	hand/tempo support / Radiance	Review card-flow and Flurry combinations against new hazard kills and surface payoffs; no automatic numerical buff just because intensity is gone. Retain authored Light/Vision duration and visibility rules independently from permanent elemental surfaces.
iron_wheel	Iron Wheel	reward		neutral	common	5	retain role; compatibility and balance review		Move 4, then strike for 10.	direct damage / positioning	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Printed Move and free movement spend the same terrain-weighted path cost, including Rubble and visible hazard consequences.
ricochet_knife	Ricochet Knife	reward		neutral	common	4	retain role; compatibility and balance review		Deal 8 at range 4, then draw 1.	direct damage / hand/tempo support	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Review card-flow and Flurry combinations against new hazard kills and surface payoffs; no automatic numerical buff just because intensity is gone.
needle_flurry	Cleaver Sweep	equipment	iron_cleaver	neutral	common	4	retain role; compatibility and balance review		Strike all adjacent tiles for 8.	direct damage	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze.
warded_advance	Warded Advance	equipment	ward_kite	neutral	common	3	retain role; compatibility and balance review		Move 2, then gain 7 block.	positioning / defense	Printed Move and free movement spend the same terrain-weighted path cost, including Rubble and visible hazard consequences. Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation.
threaded_path	Threaded Path	reward		air	common	1	retain role; compatibility and balance review		Move 5. Create radius-1 Light where you arrive for 2 turns, then draw 1.	positioning / hand/tempo support / Radiance	Printed Move and free movement spend the same terrain-weighted path cost, including Rubble and visible hazard consequences. Review card-flow and Flurry combinations against new hazard kills and surface payoffs; no automatic numerical buff just because intensity is gone. Retain authored Light/Vision duration and visibility rules independently from permanent elemental surfaces.
rallying_breath	Cinch Straps	equipment	boiled_leather	neutral	common	3	retain role; compatibility and balance review		Gain 7 block, then draw 1.	defense / hand/tempo support	Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation. Review card-flow and Flurry combinations against new hazard kills and surface payoffs; no automatic numerical buff just because intensity is gone.
battle_rhythm	Parry Rhythm	equipment	duelist_rapier	neutral	rare	3	retain role; compatibility and balance review		Gain 5 block, then draw 1.	defense / hand/tempo support	Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation. Review card-flow and Flurry combinations against new hazard kills and surface payoffs; no automatic numerical buff just because intensity is gone.
cinderburst	Cinderburst	reward		neutral	rare	6	retain role; compatibility and balance review		Deal 9 in a cross pattern at range 3.	direct damage	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Naming/art review: elemental-sounding name currently has a neutral element tag. Either make neutral flavor clear or explicitly retag with a budgeted elemental role; do not add hidden terrain effects based on the name.
reprise	Reprise	reward		neutral	rare	6	retain role; compatibility and balance review		Lose 1 health. Draw 4 and gain 5 block.	defense / hand/tempo support	Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation. Review card-flow and Flurry combinations against new hazard kills and surface payoffs; no automatic numerical buff just because intensity is gone.
blood_price	Blood Price	equipment	grave_greatsword	neutral	epic	6	retain role; compatibility and balance review		Spend 1 health. Strike an adjacent enemy for 20.	direct damage	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze.
trapdoor	Trapdoor	reward		neutral	rare	4	retain role; compatibility and balance review		Blink 6, gain 5 block, then gain 2 vision for 2 turns.	terrain bypass / defense / Radiance	Blink skips intermediate terrain and triggers only landing-tile effects, with any explicit origin effects retained. Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation. Retain authored Light/Vision duration and visibility rules independently from permanent elemental surfaces.
bodkin_arrow	Needle Thrust	equipment	duelist_rapier	neutral	rare	4	retain role; compatibility and balance review		Pierce an adjacent enemy for 9.	defense bypass	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze.
hamstring_shot	Low Sweep	starter	skirmisher_boots	neutral	common	4	retain role; compatibility and balance review		Move 2, then sweep an adjacent enemy for 4 and immobilize.	direct damage / positioning	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Printed Move and free movement spend the same terrain-weighted path cost, including Rubble and visible hazard consequences. Immobilize remains movement denial and gains situational value by holding a unit on hazardous terrain; re-score rather than silently add another rider.
hamstring_slice	Spur Trip	equipment	trapdoor_spurs	neutral	rare	4	retain role; compatibility and balance review		Move 2, then strike an adjacent enemy for 6 and immobilize.	direct damage / positioning	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Printed Move and free movement spend the same terrain-weighted path cost, including Rubble and visible hazard consequences. Immobilize remains movement denial and gains situational value by holding a unit on hazardous terrain; re-score rather than silently add another rider.
ember_rain	Ember Rain	reward		neutral	rare	5	retain role; compatibility and balance review		Deal 4 in a cross pattern at range 6, then create radius-2 Light at the impact for 2 turns.	direct damage / Radiance	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Retain authored Light/Vision duration and visibility rules independently from permanent elemental surfaces. Naming/art review: elemental-sounding name currently has a neutral element tag. Either make neutral flavor clear or explicitly retag with a budgeted elemental role; do not add hidden terrain effects based on the name.
shadow_gate	Gravewind Gate	equipment	gravewind_soles	neutral	epic	5	retain role; compatibility and balance review		Blink 5, then gain 5 block.	terrain bypass / defense	Blink skips intermediate terrain and triggers only landing-tile effects, with any explicit origin effects retained. Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation.
cyclone_seal	Cyclone Seal	reward		neutral	epic	7	retain role; compatibility and balance review		Exhaust. Deal 10 in a cross pattern at range 4.	direct damage	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Naming/art review: elemental-sounding name currently has a neutral element tag. Either make neutral flavor clear or explicitly retag with a budgeted elemental role; do not add hidden terrain effects based on the name.
last_light	Glass Mending	equipment	glassbone_cuirass	neutral	rare	4	retain role; compatibility and balance review		Exhaust. Heal 3 and gain 2 stoneskin.	defense	Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation.
grave_sprint	Coffin Brace	equipment	undertaker_plate	neutral	epic	6	retain role; compatibility and balance review		Exhaust. Gain 12 block and heal 2.	defense	Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation.
gate_gambit	Gate Gambit	reward		neutral	epic	8	retain role; compatibility and balance review		Exhaust. Lose 1 health. Draw 3, gain 2 card plays, and gain 3 block.	defense / hand/tempo support	Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation. Review card-flow and Flurry combinations against new hazard kills and surface payoffs; no automatic numerical buff just because intensity is gone.
firebrand_volley	Firebrand Volley	reward		fire	common	3	mechanical rewrite / role adjustment	intensity	Raise Fire intensity by 1. Deal 5 at range 5, then create radius-1 Light at the impact for 2 turns. Fire 2+: +3 damage.	Single-tile Fire setup	Ranged damage followed by Fire on the target tile. Remove intensity generation and the threshold bonus entirely; no ordinary Burn rider.
cinder_bloom	Cinder Bloom	reward		fire	common	6	mechanical rewrite / role adjustment	intensity, damaging Burn status (confirmed removal)	Raise Fire intensity by 1. Deal 4 in a cross pattern at range 4. Fire 2+: +4 damage and burn 2.	Area Fire setup	Modest cross-pattern damage followed by Fire on affected legal floor tiles, including empty tiles. Main common zone-building card; its direct damage must be lower than a pure damage AOE.
hearth_rush	Hearth Rush	reward		fire	common	6	mechanical rewrite / role adjustment	intensity, damaging Burn status (confirmed removal)	Raise Fire intensity by 1. Move 2, then strike for 4. Fire 2+: +4 damage and burn 2.	Melee Fire setup	Move, melee hit, then Fire under the struck target. Remove the intensity package. Movement and the hit are separate readable steps; it cannot trigger its new surface before placement resolves.
cinderline_tempo	Cinderline Tempo	reward		fire	common	4	mechanical rewrite / role adjustment	intensity, damaging Burn status (confirmed removal)	Raise Fire intensity by 1. Deal 4 at range 4 and gain 1 card play. Fire 2+: +3 damage and burn 2.	Cheap detonation bridge	A light ranged hit followed by Detonate on its impact tile. Remove the automatic card-play refund; retain a short Time cost. It remains a modest legal attack without Fire, with a strong local payoff when prepared.
inferno_ritual	Inferno Ritual	reward		fire	rare	7	mechanical rewrite / role adjustment	intensity, damaging Burn status (confirmed removal)	Spend 2 Fire intensity. Deal 11 and burn 3 in a cross pattern at range 4.	Focused area detonation	Modest cross-pattern damage plus Detonate on existing Fire in that pattern. Remove the intensity entry cost and Burn. It consumes real Fire; it never creates the Fire it consumes on this same action.
molten_reach	Molten Reach	reward		fire	rare	7	mechanical rewrite / role adjustment	intensity, damaging Burn status (confirmed removal)	Deal 5 along a 3-tile line at range 6. Fire 2+: +3 damage and burn 2.	Lane-shaped Fire setup	A rotatable three-tile damaging line followed by Fire along that line. Geometry distinguishes it from Cinder Bloom; remove its intensity bonus and Burn rider.
wildfire_halo	Wildfire Halo	reward		fire	legendary	10	mechanical rewrite / role adjustment	intensity, damaging Burn status (confirmed removal)	Deal 5 in a large pattern at range 5. Fire 3+: +9 damage and burn 3.	Large prepared detonation	Large-pattern damage and Detonate on existing Fire in the pattern. No global board detonation and no automatic repaint after consumption. Payoff bounded by the printed pattern; remove intensity and Burn.
frostbolt	Frostbolt	reward		ice	common	5	mechanical rewrite / role adjustment	intensity, Freeze semantic migration	Raise Ice intensity by 1. Deal 4 at range 6. Ice 2+: +1 damage and freeze.	Basic Ice setup	A ranged Ice hit, then Ice beneath its target. Check active Chilled immediately before the hit: if eligible, damage resolves before Freeze consumes the supporting Ice. Newly painted Ice does not activate Chilled until a later actual entry or non-Frozen turn start. Remove intensity generation and direct gated Freeze.
icebound_chains	Icebound Chains	reward		ice	rare	6	mechanical rewrite / role adjustment		Deal 6 at range 6 and immobilize, then gain truesight for 2 turns.	Hold a prepared target	Keep ranged Ice damage, Immobilize and Truesight. An actively Chilled target can Freeze after damage, consuming all Ice it occupies. Immobilize can hold an un-Frozen target on Ice until its turn-start activation. Avoid adding free Ice placement to this dense control/information card.
rime_shard	Rime Shard	reward		ice	common	3	mechanical rewrite / role adjustment	intensity	Raise Ice intensity by 1. Deal 2 along a 2-tile line at range 5. Ice 2+: +2 damage.	Cheap Ice lane	Modest damage along the existing two-tile line, then Ice on that line. No intensity. Each hit checks active Chilled before damage; painting Ice afterwards neither Chills a stationary occupant nor self-enables Freeze for the completed hit.
cold_grasp	Cold Grasp	reward		ice	common	4	mechanical rewrite / role adjustment	intensity, Freeze semantic migration	Raise Ice intensity by 1 and strike up to range 2 for 6. Ice 2+: +3 damage and freeze.	Close-range Ice payoff	Keep strong short-reach Ice damage. It does not lay Ice; its control payoff requires reaching a target whose Chilled was activated by actual Ice entry or a non-Frozen turn start. Eligible Freeze consumes the Ice beneath that actor and clears Chilled; ordinary hits do not consume Chilled.
icicle_lance	Icicle Lance	reward		ice	common	5	mechanical rewrite / role adjustment	intensity, Freeze semantic migration	Raise Ice intensity by 1 and pierce for 5 at range 5. Ice 3+: +4 damage and freeze.	Armor-piercing Ice payoff	Keep ranged Pierce and Ice damage. Remove intensity; the shared rule checks active Chilled immediately before the hit, resolves damage, then applies eligible Freeze and consumes the enabling Ice. Do not create Ice on this specialist payoff.
hush_of_winter	Hush of Winter	reward		ice	rare	7	mechanical rewrite / role adjustment	intensity, Freeze semantic migration	Spend 2 Ice intensity. Deal 9 at range 7, freeze, and draw 1.	Long-range control payoff	Keep long-range Ice damage and draw, with Freeze only against active Chilled; Freeze consumes the Ice beneath its target. No resource lock; price range and draw without assuming Freeze is always available or refreshable.
shatterline	Shatterline	reward		ice	rare	7	mechanical rewrite / role adjustment	intensity, Freeze semantic migration	Pierce a line for 5 at range 5. Ice 3+: +5 damage and freeze.	Prepared line payoff	Keep a three-tile piercing Ice line. Each individual hit checks active Chilled immediately before damage, then applies eligible Freeze and consumes the Ice beneath that actor once. No newly generated Ice and no intensity-gated damage package; do not snapshot Chill once for the entire action.
glacier_pin	Glacier Pin	reward		ice	rare	7	mechanical rewrite / role adjustment	intensity, Freeze semantic migration	Raise Ice intensity by 1. Deal 4 in a two-tile pattern at range 5. Ice 3+: +4 damage and freeze.	Area Ice setup	Damage the existing short line, then lay Ice on its floor tiles. Make area/range or a bounded Immobilize rider distinguish it from Rime Shard. Painting Ice does not Chill stationary occupants: actual entry or a later non-Frozen turn start activates it for a future freezing hit.
white_silence	White Silence	reward		ice	legendary	9	mechanical rewrite / role adjustment	intensity, Freeze semantic migration	Deal 9 at range 7. Ice 3+: +8 damage and freeze.	Premium Ice finisher	A heavy long-range Ice finisher. Against an already Frozen target, use the shared x2 damage payoff instead of stacking Chilled +1 or another bespoke multiplier. Against active Chilled, damage resolves before Freeze consumes the enabling Ice. It never refreshes Freeze or grants Chilled to a Frozen target; rarity comes from its printed attack budget and reach.
spark_dart	Spark Dart	reward		lightning	common	5	mechanical rewrite / role adjustment	intensity	Raise Lightning intensity by 1. Deal 4 at range 6, then create radius-1 Light at the impact for 2 turns. Lightning 2+: +3 damage.	Single-tile setup and network payoff	Keep a straightforward ranged Lightning hit and existing impact Light, then Electrified beneath the primary impact after the complete attack. The single tile is a useful endpoint or gap filler alongside broader painters. Hitting an existing Electrified component already supplies the shared conduction payoff; no extra card-specific condition is needed.
chain_bolt	Chain Bolt	reward		lightning	common	4	mechanical rewrite / role adjustment	intensity, Chain surface interaction review	Raise Lightning intensity by 1. Deal 4 at range 5 with chain 1. Lightning 2+: +3 damage and +1 chain.	Basic intrinsic Chain	Ranged Chain damage without intensity or Shock. Preserve Chain N as maximum jump reach, with no additional-target cap. It works through nearby enemies without setup and can treat individual Electrified tiles as relay nodes. Its Lightning impacts can also discharge touched contiguous components under the shared contract.
spark_focus	Spark Focus	reward		lightning	common	3	mechanical rewrite / role adjustment	intensity	Raise Lightning intensity by 2. Deal 4 at range 5, draw 1, then gain 1 vision for 2 turns.	Contiguous Electrified setup	Place a short cardinally contiguous Electrified line on visible legal floor, then draw. Tune its length to connect useful nearby occupied tiles or complete a gap in existing ground, rather than leave two isolated nodes. Remove intensity and the redundant small attack; retain Vision only if the support budget allows. Empty-floor targeting makes this a broadly useful setup card.
static_lash	Static Lash	reward		lightning	common	5	mechanical rewrite / role adjustment	intensity	Raise Lightning intensity by 1. Deal 4 at range 6. Lightning 2+: +4 damage and shock.	Prepared disruption	Keep a simple ranged Lightning hit. Its specialist Shock applies to actual opponents reached through used Electrified, whether by contiguous conduction or intrinsic Chain supplied elsewhere. The ordinary connected-component payoff does not require Chain. Remove intensity and unconditional turn denial; no extra setup condition is needed for the baseline hit.
storm_relay	Storm Relay	reward		lightning	rare	7	mechanical rewrite / role adjustment	intensity, Chain surface interaction review	Spend 2 Lightning intensity. Deal 9 at range 6 with chain 2 and shock.	Premium intrinsic Chain	A ranged Chain attack with greater printed jump reach, not a larger additional-target budget. Used Electrified can enable its explicitly priced Shock rider. Remove intensity cost. Plan its native Chain independently of component hits and deduplicate the final actor union; empty tiles are not hits or reward triggers.
volt_surge	Volt Surge	reward		lightning	rare	7	mechanical rewrite / role adjustment	intensity	Raise Lightning intensity by 1. Deal 5 at range 6. Lightning 2+: +4 damage.	Electrified lane setup	Replace the redundant intensity shot with one coherent damaging line that leaves a cardinally contiguous Electrified lane AFTER the complete attack. Tune line coverage to connect typical nearby positions without needing several painter cards for one useful discharge. Existing Electrified touched by the attack conducts normally; newly painted ground waits only for a later attack.
thunderline	Thunderline	reward		lightning	legendary	8	mechanical rewrite / role adjustment	intensity	Deal 6 in a line at range 6. Lightning 3+: +9 damage and shock.	Broad Lightning line payoff	Keep the rotatable damaging line and an explicitly rooted intrinsic Chain, with its number controlling jump reach. The line can discharge each Electrified component it touches. Snapshot the native line and Chain route independently of conduction, then hit their combined opponent union once; no fresh Chain starts from every line tile or conducted target.
gust_step	Gust Step	reward		air	common	6	mechanical rewrite / role adjustment	intensity	Raise Air intensity by 1. Pull 2 at range 4 and hit for 4. Air 2+: gain 1 card play.	Pull and reposition	Directed Pull plus modest damage; replace the intensity/refund package with a small Move AFTER the pull. Resolve target movement before player movement. This is a setup bridge without free card-play churn.
slipstream_cut	Slipstream Cut	reward		air	common	6	mechanical rewrite / role adjustment	intensity	Raise Air intensity by 1. Move 3, then strike for 6 and push 1. Air 2+: gain 1 card play.	Move-and-push setup	Move, melee damage, then directed Push. Remove intensity and card-play refund. Price movement and persistent-hazard access directly.
updraft	Updraft	reward		air	common	4	mechanical rewrite / role adjustment	intensity	Raise Air intensity by 1. Push 2 at range 4 and hit 6. Air 2+: gain 1 card play.	Basic directed push	Keep directed Push and damage, remove intensity and card-play refund, and tune short Time to make a satisfying common setup tool. It pays for actual hazard traversal, not an automatic extra play.
vacuum_line	Vacuum Line	reward		air	rare	7	mechanical rewrite / role adjustment	intensity	Spend 2 Air intensity. Pull 5 at range 5, hit for 11, and draw 1.	Long pull payoff	Keep long-range/long-distance directed Pull, modest damage and draw. Remove intensity cost. It can drag through prepared hazards; reduce old spender-level damage if hazard value warrants it.
squall_shot	Squall Shot	reward		air	rare	6	mechanical rewrite / role adjustment	intensity	Raise Air intensity by 1. Deal 5 in an odd pattern at range 5 and push 1. Air 2+: gain 1 card play.	Multi-target repositioning	Keep the unusual rotatable pattern with Push. Remove intensity and refund. Preview each actor's route, collision and surface entries before committing.
skybreak_current	Skybreak Current	reward		air	legendary	8	mechanical rewrite / role adjustment	intensity	Deal 8 at range 6 and push 2. Air 2+: +6 damage and +2 push.	Premium displacement	A strong directed Push attack with a larger printed push distance; remove intensity gate. Optional bounded collision or hazardous-destination bonus can provide the legendary payoff instead of raw unconditional damage inflation.
venom_claw	Venom Claw	reward		earth	common	4	mechanical rewrite / role adjustment	intensity, Poison	Raise Earth intensity by 1 and strike for 9. Earth 2+: +4 damage and poison 4.	Close-range Rubble setup	Rename to Quarry Claw. Melee damage followed by Rubble beneath its target. Remove Poison and intensity; rebalance direct damage for persistent terrain control.
stone_plate	Stone Plate	reward		earth	common	3	mechanical rewrite / role adjustment	intensity	Raise Earth intensity by 1. Gain 5 stoneskin, then draw 1.	Reliable persistent defense	Keep Stoneskin and draw, remove intensity generation. This is intentionally a plain defense card; do not add terrain and complexity merely because it is Earth.
quarry_step	Quarry Step	reward		earth	common	5	mechanical rewrite / role adjustment	intensity, Poison	Raise Earth intensity by 1. Move 2, then strike for 6 and poison 1. Earth 2+: gain 3 stoneskin.	Approach and obstruct	Move, melee damage, then Rubble beneath the struck target. Remove Poison, intensity and gated Stoneskin. Make the player choose the approach rather than leaving an automatic trail across every moved tile.
thorn_skewer	Thorn Skewer	reward		earth	common	2	mechanical rewrite / role adjustment	intensity, Poison	Raise Earth intensity by 1 and pierce an adjacent enemy for 8. Earth 2+: +3 damage and poison 4.	Rubble-conditioned Pierce	Piercing melee damage with a small local bonus against a target standing on Rubble. Remove Poison and intensity. No need to consume Rubble on every Earth payoff.
root_snare	Root Snare	reward		earth	common	4	mechanical rewrite / role adjustment	intensity	Raise Earth intensity by 1. Deal 5 and immobilize at range 5, then create radius-1 Light at the impact for 2 turns.	Hold and reveal	Retain ranged Immobilize and impact Light; replace intensity with Rubble beneath the target after the hit. Lower direct damage if needed to keep this layered common from dominating basic Earth setup.
basalt_guard	Basalt Guard	reward		earth	rare	7	mechanical rewrite / role adjustment	intensity	Raise Earth intensity by 1. Create a 4-health illusion, then gain 4 block and 3 stoneskin.	Decoy and cover	Retain a low-health illusion plus defense; place Rubble at the decoy's tile, with its normal shared-hazard spawn/contact rules explicit. Remove intensity. Do not combine a full-strength persistent Stoneskin package with free wide terrain.
grave_mortar	Grave Mortar	reward		earth	rare	6	mechanical rewrite / role adjustment	intensity, Poison	Raise Earth intensity by 1. Strike all adjacent tiles for 5 and poison 1. Earth 2+: +5 damage and poison 4.	Close-area Rubble setup	Adjacent AOE damage followed by Rubble on its affected floor tiles. Remove both Poison clauses and intensity. Distinguish this from remote Fire setup through melee commitment and terrain control.
spike_mantle	Spike Mantle	reward		earth	epic	7	mechanical rewrite / role adjustment	intensity, Poison	Spend 3 Earth intensity. Pierce all adjacent tiles for 15 and poison 5, then gain 5 stoneskin.	Local Rubble conversion	Adjacent piercing damage gains a bounded bonus against actors standing on Rubble, then consumes Rubble in the printed pattern and grants a fixed Stoneskin reward if any was consumed. Remove Poison and intensity; no Stoneskin-per-board-tile scaling.
tectonic_maul	Tectonic Maul	reward		earth	legendary	8	mechanical rewrite / role adjustment	intensity, Poison	Move 1, then strike for 12 and poison 2. Earth 2+: +6 damage and poison 5.	Heavy terrain-shaping hit	Short approach plus a heavy melee hit, then a compact cross of Rubble around the impact. A local bonus for hitting an actor already on Rubble gives setup value. Remove Poison and intensity; avoid unlimited damage per tile on the board.
cleaver_hook	Cleaver Hook	equipment	iron_cleaver	neutral	common	4	retain role; compatibility and balance review		Hack an adjacent enemy for 8 and shove 1.	hazard positioning	Preview and resolve every actual forced-movement tile; Rubble does not shorten forced distance, Fire and Ice trigger on actual entry under the shared actor rules. Placement does not trigger either; leaving Ice clears Chilled.
riposte_lunge	Riposte Lunge	equipment	duelist_rapier	neutral	rare	5	retain role; compatibility and balance review		Move 2, strike an adjacent enemy for 6, then gain 4 block.	direct damage / positioning / defense	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Printed Move and free movement spend the same terrain-weighted path cost, including Rubble and visible hazard consequences. Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation.
grave_cleave	Grave Cleave	equipment	grave_greatsword	neutral	epic	6	mechanical rewrite / role adjustment	Poison	Strike all adjacent tiles for 10 and poison 2.	Physical multi-target setup	Replace Poison with a modest Expose rider on the existing adjacent cleave. Preserve neutral weapon identity and the later-hit payoff; rebalance alongside Tombsplitter to avoid two equivalent AOEs.
